,2-cps,3-cps
nthroot_mm03448,81.508,81.38
nthroot_04828,76.72,76.903
nthroot_05172,77.252,77.05
norm_31,81.288,81.159
nthroot_07931,77.289,77.307
nthroot_mm07586,81.196,80.884
nthroot_05862,77.472,77.013
nthroot_10,76.995,76.867
nthroot_mm03793,81.655,81.618
nthroot_08966,77.178,77.435
nthroot_03103,77.27,76.995
nthroot_03793,76.371,76.885
nthroot_mm05517,80.903,80.811
nthroot_mm01724,81.214,81.325
nthroot_mm08966,81.288,81.288
nthroot_06897,77.16,76.867
nthroot_mm0931,80.939,81.435
nthroot_07241,77.27,77.068
norm_51,80.737,80.976
nthroot_07586,77.619,77.087
nthroot_mm06552,80.554,80.921
nthroot_01724,76.995,77.325
norm_3,79.857,79.655
norm_41,81.123,81.141
nthroot_mm04138,81.343,81.618
nthroot_03448,76.83,77.27
nthroot_mm04483,80.829,81.123
nthroot_06207,77.399,77.289
nthroot_mm05172,81.214,81.086
nthroot_mm03103,81.545,81.618
nthroot_02414,76.591,76.812
nthroot_mm07931,80.921,80.994
nthroot_08276,77.637,77.05
nthroot_mm04828,80.811,80.774
norm_21,81.545,81.563
nthroot_mm01379,81.416,80.994
nthroot_05517,77.399,76.738
nthroot_02759,76.995,77.27
nthroot_003448,76.922,76.922
raw_image_data,80.004,80.187
nthroot_mm01034,80.664,81.159
nthroot_mm09655,80.646,81.251
nthroot_mm02069,81.214,81.361
nthroot_mm02759,81.159,81.288
nthroot_01034,76.885,76.463
nthroot_006897,76.573,77.032
nthroot_mm10,80.793,81.471
nthroot_01379,76.94,76.72
nthroot_08621,77.399,77.509
nthroot_mm006897,80.848,81.178
nthroot_04138,76.665,76.738
nthroot_0931,77.234,77.454
nthroot_mm05862,81.196,80.958
nthroot_mm003448,81.031,81.361
nthroot_06552,77.307,77.197
nthroot_mm06207,80.903,80.701
norm_4,80.701,81.086
nthroot_mm06897,80.682,81.031
nthroot_02069,76.812,76.94
norm_11,81.196,81.306
nthroot_mm07241,80.829,80.627
nthroot_04483,76.518,75.986
norm_2,81.013,80.829
nthroot_log,72.207,72.886
nthroot_09655,77.068,77.417
nthroot_mm08621,80.737,80.921
nthroot_mm08276,80.664,80.646
nthroot_mm02414,81.086,81.214
norm_1,81.233,81.178
std_scaler,76.004,75.968
norm_5,81.196,81.104
